# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
330000,6629200,211.055369153511,5535
330050,6629200,210.654999327171,5500
330100,6629200,210.286555185181,5476
330150,6629200,209.952679145607,5479
330200,6629200,209.655742280775,5496
330250,6629200,209.397817201372,5544
330300,6629200,209.180653024931,5617
330350,6629200,209.005652756934,5641
330400,6629200,208.873853236249,5553
330450,6629200,208.785907458974,5393
330500,6629200,208.742070477946,5258
330550,6629200,208.74218989225,5175
330600,6629200,208.785700322195,5133
330650,6629200,208.871621795836,5159
330700,6629200,208.998562687294,5169
330750,6629200,209.16472583802,5170
330800,6629200,209.367918186991,5165
330850,6629200,209.605565402796,5155
330900,6629200,209.874730825131,5138
330950,6629200,210.172138340873,5112
331000,6629200,210.494199351302,5086
331050,6629200,210.837043471135,5073
331100,6629200,211.196552764626,5062
331150,6629200,211.56839925637,5039
331200,6629200,211.948084883683,5020
331250,6629200,212.330983879352,5005
331300,6629200,212.712387063005,4997
331350,6629200,213.087547487143,4990
331400,6629200,213.451727156533,4987
331450,6629200,213.800244494614,4980
331500,6629200,214.128522213466,4972
331550,6629200,214.432134618669,4965
331600,6629200,214.706853641105,4966
331650,6629200,214.948692949237,4970
331700,6629200,215.153949323629,4971
331750,6629200,215.319240973969,4973
331800,6629200,215.441542364401,4982
331850,6629200,215.518215153314,4991
331900,6629200,215.547035575355,4995
331950,6629200,215.52621706524,4993
332000,6629200,215.454427735467,4987
332050,6629200,215.330803195394,4979
332100,6629200,215.154954556323,4971
332150,6629200,214.926970975866,4964
332200,6629200,214.647416396886,4962
332250,6629200,214.317320973086,4963
332300,6629200,213.938167337825,4965
332350,6629200,213.511871511477,4966
332400,6629200,213.040759507822,4965
332450,6629200,212.527539190389,4963
332500,6629200,211.975268150805,4962
332550,6629200,211.387318574076,4960
332600,6629200,210.767338181915,4957
332650,6629200,210.119208261914,4955
332700,6629200,209.447000374351,4953
332750,6629200,208.754931405161,4954
332800,6629200,208.04731782049,4961
332850,6629200,207.328529047886,4968
332900,6629200,206.602941378454,4973
332950,6629200,205.87489298557,4963
333000,6629200,205.148640472621,4938
333050,6629200,204.428317605157,4916
333100,6629200,203.717897027696,4920
333150,6629200,203.021155903392,4932
333200,6629200,202.341644491831,4941
333250,6629200,201.682657541065,4943
333300,6629200,201.047209138473,4945
333350,6629200,200.438011538466,4947
333400,6629200,199.857458598017,4947
333450,6629200,199.307613909785,4945
333500,6629200,198.790203801407,4942
333550,6629200,198.306615013077,4938
333600,6629200,197.857896185491,4933
333650,6629200,197.444763310771,4928
333700,6629200,197.067609658657,4926
333750,6629200,196.726519246541,4922
333800,6629200,196.421283571403,4917
333850,6629200,196.151421136868,4911
333900,6629200,195.916199164212,4907
333950,6629200,195.714656519873,4906
334000,6629200,195.5456270584,4901
334050,6629200,195.407764040849,4899
334100,6629200,195.299565441975,4904
334150,6629200,195.219399413681,4903
334200,6629200,195.165529824414,4896
334250,6629200,195.136140692554,4898
334300,6629200,195.129359401707,4901
334350,6629200,195.143278504087,4908
334400,6629200,195.175975698996,4940
334450,6629200,195.225532260844,5072
334500,6629200,195.290049552812,5337
334550,6629200,195.367662847544,5329
334600,6629200,195.456552515629,5159
334650,6629200,195.554953214235,5046
334700,6629200,195.661160911658,4992
334750,6629200,195.773537603474,4967
334800,6629200,195.890514118632,4947
334850,6629200,196.010591098656,4931
334900,6629200,196.132338155935,4920
334950,6629200,196.25439162039,4911
335000,6629200,196.375451176483,4903
335050,6629200,196.494275657831,4897
335100,6629200,196.609678673299,4891
335150,6629200,196.72052438863,4888
335200,6629200,196.825723236222,4883
335250,6629200,196.924227401928,4877
335300,6629200,197.015026349911,4869
335350,6629200,197.097143366397,4861
335400,6629200,197.169633161223,4852
335450,6629200,197.231580640693,4844
335500,6629200,197.282100883555,4839
335550,6629200,197.320339937552,4834
335600,6629200,197.345476961283,4830
335650,6629200,197.35672769611,4826
335700,6629200,197.353348710851,4823
335750,6629200,197.334642504111,4822
335800,6629200,197.299963750863,4822
335850,6629200,197.248725870293,4818
335900,6629200,197.180408188423,4814
335950,6629200,197.09456379983,4813
336000,6629200,196.990827597422,4810
336050,6629200,196.868924152706,4805
336100,6629200,196.728674885429,4801
336150,6629200,196.570004779114,4799
336200,6629200,196.392948309711,4798
336250,6629200,196.197654262094,4798
336300,6629200,195.984389658857,4799
336350,6629200,195.753541951592,4798
336400,6629200,195.505619231724,4796
336450,6629200,195.241248879743,4792
336500,6629200,194.961174322724,4789
336550,6629200,194.666249547525,4786
336600,6629200,194.357431605168,4786
336650,6629200,194.035771803781,4786
336700,6629200,193.702405380159,4786
336750,6629200,193.358540040596,4786
336800,6629200,193.00544334467,4785
336850,6629200,192.64442886017,4785
336900,6629200,192.276841004595,4784
336950,6629200,191.904039628728,4782
337000,6629200,191.527384632696,4781
337050,6629200,191.148220070047,4779
337100,6629200,190.767857938312,4779
337150,6629200,190.387562590285,4780
337200,6629200,190.008536920137,4784
337250,6629200,189.631909333486,4788
337300,6629200,189.258721556663,4790
337350,6629200,188.889917169553,4791
